fct_date,fct_mean,cnty,horizon,method,step_ahead
2022-10-23,3.5244451729504065,15,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,0.5999999973114036,30,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,0.5999999973114036,30,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,0.5999999973114036,30,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,0.5999999973114036,30,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,3.1999999976943534,09,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,3.1999999976943534,09,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,3.1999999976943534,09,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,3.1999999976943534,09,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,1.7999999999999996,20,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,1.7999999999999996,20,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,1.7999999999999996,20,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,1.7999999999999996,20,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,19.584718327715844,51,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,28.056411973991302,51,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,21.16561482662963,51,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,26.77052540398077,51,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,18.599999999999994,01,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,18.599999999999994,01,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,18.599999999999994,01,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,18.599999999999994,01,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,7.599999999999998,46,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,7.599999999999998,46,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,7.599999999999998,46,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,7.599999999999998,46,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,0.0,44,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,0.0,44,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,0.0,44,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,0.0,44,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,0.0,56,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,0.0,56,2022-09-25,ARIMA_LO,2-step_ahead
